Segment ID,Completion Time (s),Failed Attempts,Control Inputs,Current Waypoint
1,18.912,0,590,1
2,6.240000000000002,16,785,2
3,8.704,16,1057,3
4,10.143999999999998,16,1374,4
5,12.416000000000004,16,1762,5
