Segment ID,Completion Time (s),Failed Attempts,Control Inputs,Current Waypoint
1,15.008000000000001,0,468,1
2,10.368,99,792,2
3,12.608,99,1186,3
4,10.591999999999999,99,1517,4
5,21.984,99,2204,5
