Time (s),X,Y,Z,Current Waypoint
0.256,0,0,0,1
0.512,0,0,0,1
0.768,0,0,0,1
1.024,0,0,0,1
1.28,0,0,0,1
1.536,0,0,0,1
1.792,0,0,0,1
2.048,0,0,0,1
2.3040000000000003,0,0,0,1
2.56,0,0,0,1
2.816,0,0,0,1
3.072,0,0,0,1
3.3280000000000003,0,0,0,1
3.584,0,0,0,1
3.84,0,0,0,1
4.096,0,0,0,1
4.352,0,0,0,1
4.6080000000000005,0,0,0,1
4.864,0,0,0,1
5.12,0,0,0,1
5.376,0,0,0,1
5.632,0,0,0,1
5.888,0,0,0,1
6.144,0,0,0,1
6.4,0,0,0,1
6.656000000000001,0,0,0,1
6.912,0,0,0,1
7.168,0,0,0,1
7.424,0,0,0,1
7.68,0,0,0,1
7.936,0,0,0,1
8.192,0,0,0,1
8.448,0,0,0,1
8.704,0,0,0,1
8.96,0,0,0,1
9.216000000000001,0,0,0,1
9.472,0,0,0,1
9.728,0,0,0,1
9.984,0,0,0,1
10.24,0,0,0,1
10.496,0,0,0,1
10.752,0,0,0,1
11.008000000000001,0,0,0,1
11.264,0,0,0,1
11.52,0,0,0,1
11.776,0,0,0,1
12.032,0,0,0,1
12.288,0,0,0,1
12.544,0,0,0,1
12.8,0,0,0,1
13.056000000000001,0,0,0,1
13.312000000000001,0,0,0,1
13.568,0,0,0,1
13.824,0,0,0,1
14.08,0,0,0,1
14.336,0,0,0,1
14.592,0,0,0,1
14.848,0,0,0,1
15.104000000000001,0,0,0,1
15.36,0,0,0,1
15.616,0,0,0,1
15.872,0,0,0,1
16.128,0,0,0,1
16.384,0,0,0,1
16.64,0,0,0,1
16.896,0,0,0,1
17.152,0,0,0,1
17.408,0,0,0,1
17.664,0,0,0,1
17.92,0,0,0,1
18.176000000000002,0,0,0,1
18.432000000000002,0,0,0,1
18.688,0,0,0,1
18.944,0,0,0,1
19.2,0,0,0,1
19.456,0,0,0,1
19.712,0,0,0,1
19.968,0,0,0,1
20.224,0,0,0,1
20.48,0,0,0,1
20.736,0,0,0,1
20.992,0,0,0,1
21.248,0,0,0,1
21.504,0,0,0,1
21.76,0,0,0,1
22.016000000000002,0,0,0,1
22.272000000000002,0,0,0,1
22.528,0,0,0,1
22.784,0,0,0,1
23.04,0,0,0,1
23.296,0,0,0,1
23.552,0,0,0,1
23.808,0,0,0,1
24.064,0,0,0,1
24.32,0,0,0,1
24.576,0,0,0,1
24.832,0,0,0,1
25.088,0,0,0,1
25.344,0,0,0,1
25.6,0,0,0,1
25.856,0,0,0,1
26.112000000000002,0,0,0,1
26.368000000000002,0,0,0,1
26.624000000000002,0,0,0,1
26.88,0,0,0,1
27.136,0,0,0,1
27.392,0,0,0,1
27.648,0,0,0,1
27.904,0,0,0,1
28.16,0,0,0,1
28.416,0,0,0,1
28.672,0,0,0,1
28.928,0,0,0,1
29.184,0,0,0,1
29.44,0,0,0,1
29.696,0,0,0,1
29.952,0,0,0,1
30.208000000000002,0,0,0,1
30.464000000000002,0,0,0,1
30.72,0,0,0,1
30.976,0,0,0,1
31.232,0,0,0,1
31.488,0,0,0,1
31.744,0,0,0,1
32.0,0,0,0,1
32.256,0,0,0,1
32.512,0,0,0,1
32.768,0,0,0,1
33.024,0,0,0,1
33.28,0,0,0,1
33.536,0,0,0,1
33.792,0,0,0,1
34.048,0,0,0,1
34.304,0,0,0,1
34.56,0,0,0,1
34.816,0,0,0,1
35.072,0,0,0,1
35.328,0,0,0,1
35.584,0,0,0,1
35.84,0,0,0,1
36.096000000000004,0,0,0,1
36.352000000000004,0,0,0,1
36.608000000000004,0,0,0,1
36.864000000000004,0,0,0,1
37.12,0,0,0,1
37.376,0,0,0,1
37.632,0,0,0,1
37.888,0,0,0,1
38.144,0,0,0,1
38.4,0,0,0,1
38.656,0,0,0,1
38.912,0,0,0,1
39.168,0,0,0,1
39.424,0,0,0,1
39.68,0,0,0,1
39.936,0,0,0,1
40.192,0,0,0,1
40.448,0,0,0,1
40.704,0,0,0,1
40.96,0,0,0,1
41.216,0,0,0,1
41.472,0,0,0,1
41.728,0,0,0,1
41.984,0,0,0,1
42.24,0,0,0,1
42.496,0,0,0,1
42.752,0,0,0,1
43.008,0,0,0,1
43.264,0,0,0,1
43.52,0,0,0,1
43.776,0,0,0,1
44.032000000000004,0,0,0,1
44.288000000000004,0,0,0,1
44.544000000000004,0,0,0,1
44.800000000000004,0,0,0,1
45.056,0,0,0,1
45.312,0,0,0,1
45.568,0,0,0,1
45.824,0,0,0,1
46.08,0,0,0,1
46.336,0,0,0,1
46.592,0,0,0,1
46.848,0,0,0,1
47.104,0,0,0,1
47.36,0,0,0,1
47.616,0,0,0,1
47.872,0,0,0,1
48.128,0,0,0,1
48.384,0,0,0,1
48.64,0,0,0,1
48.896,0,0,0,1
49.152,0,0,0,1
49.408,0,0,0,1
49.664,0,0,0,1
49.92,0,0,0,1
50.176,0,0,0,1
50.432,0,0,0,1
50.688,0,0,0,1
50.944,0,0,0,1
51.2,0,0,0,1
51.456,0,0,0,1
51.712,0,0,0,1
51.968,0,0,0,1
52.224000000000004,0,0,0,1
52.480000000000004,0,0,0,1
52.736000000000004,0,0,0,1
52.992000000000004,0,0,0,1
53.248000000000005,0,0,0,1
53.504,0,0,0,1
53.76,0,0,0,1
54.016,0,0,0,1
54.272,0,0,0,1
54.528,0,0,0,1
54.784,0,0,0,1
55.04,0,0,0,1
55.296,0,0,0,1
55.552,0,0,0,1
55.808,0,0,0,1
56.064,0,0,0,1
56.32,0,0,0,1
56.576,0,0,0,1
56.832,0,0,0,1
57.088,0,0,0,1
57.344,0,0,0,1
57.6,0,0,0,1
57.856,0,0,0,1
58.112,0,0,0,1
58.368,0,0,0,1
58.624,0,0,0,1
58.88,0,0,0,1
59.136,0,0,0,1
59.392,0,0,0,1
59.648,0,0,0,1
59.904,0,0,0,1
60.160000000000004,0,0,0,1
60.416000000000004,0,0,0,1
60.672000000000004,0,0,0,1
60.928000000000004,0,0,0,1
61.184000000000005,0,0,0,1
61.44,0,0,0,1
61.696,0,0,0,1
61.952,0,0,0,1
