Segment ID,Completion Time (s),Failed Attempts,Control Inputs,Current Waypoint
1,20.896,0,652,1
2,5.152000000000001,29,813,2
3,11.04,29,1158,3
4,11.456000000000003,29,1516,4
5,14.079999999999998,29,1956,5
