Segment ID,Completion Time (s),Failed Attempts,Control Inputs,Current Waypoint
1,11.232000000000001,0,350,1
2,5.856,22,533,2
3,20.96,22,1188,3
4,10.399999999999999,22,1513,4
5,16.000000000000007,22,2013,5
