Segment ID,Completion Time (s),Failed Attempts,Control Inputs,Current Waypoint
1,11.104000000000001,0,346,1
2,7.679999999999998,13,586,2
3,8.512,13,852,3
4,10.463999999999999,13,1179,4
5,16.96,13,1709,5
