Segment ID,Completion Time (s),Failed Attempts,Control Inputs,Current Waypoint
1,10.656,0,332,1
2,12.191999999999998,17,713,2
3,10.752000000000002,17,1049,3
4,11.392000000000003,17,1405,4
5,16.384,17,1917,5
