Time (s),X,Y,Z,Current Waypoint
0.256,-5.403079999999999,-0.3864740000000019,0.5447423660236799,1
0.512,-5.403079999999987,-0.3864740000000196,0.03915605178677514,1
0.768,-5.403079999999927,-0.3864740000001006,0.15171077848587697,1
1.024,-5.403079999999824,-0.3864740000002438,0.057549597256714935,1
1.28,-5.403079999999698,-0.3864740000004189,0.013303678297715728,1
1.536,-5.403079999999705,-0.3864740000004093,0.014833974986075636,1
1.792,-5.4030799999997114,-0.3864740000004015,0.014969432253255272,1
2.048,-5.403079999999705,-0.38647400000040794,0.029970610228959586,1
2.3040000000000003,-5.403079999999704,-0.3864740000003875,0.18292171641232477,1
2.56,-5.4030799999997114,-0.38647400000035037,0.4818036983916152,1
2.816,-5.4030799999997186,-0.3864740000003342,0.8162998872362207,1
3.072,-5.403079999999726,-0.3864740000003245,1.1104685876141982,1
3.3280000000000003,-5.403079999999731,-0.3864740000003202,1.3256613926416707,1
3.584,-5.403079999999738,-0.38647400000031806,1.4515568555121263,1
3.84,-5.403079999999743,-0.38647400000031706,1.497005598648993,1
4.096,-5.4030799999997745,-0.38647400000032717,1.4769950699084318,1
4.352,-5.409616127524215,-0.40300681960153756,1.406604993941818,1
4.6080000000000005,-5.433949417678916,-0.4645765692132949,1.305448905077689,1
4.864,-5.448805415362141,-0.5021644748369511,1.196423026502524,1
5.12,-5.4724831549433794,-0.5620725224473725,1.0975678518974032,1
5.376,-5.493746466344699,-0.6158708122493349,1.0309920634089087,1
5.632,-5.501713701451576,-0.6360284241304054,1.0041706126004106,1
5.888,-5.506680655801518,-0.6485953014136171,1.0138518659439348,1
6.144,-5.509066796114646,-0.6546324185344242,1.0509817107901833,1
6.4,-5.510322593024451,-0.6578096957029933,1.104767464372825,1
6.656000000000001,-5.510985681626123,-0.659487365518166,1.164859154763002,1
6.912,-5.511322487408459,-0.660339512259453,1.2228777951520156,1
7.168,-5.511502269009214,-0.6607943752033032,1.2731885106595542,1
7.424,-5.513620702797494,-0.6661542258519281,1.3129441084832791,1
7.68,-5.530876267372875,-0.7098125533711385,1.3406477701556567,1
7.936,-5.543627683987527,-0.7420749300776199,1.3593727573564254,1
8.192,-5.560783979640888,-0.7854820976885654,1.3717131873901338,1
8.448,-5.59390293032196,-0.8692764014222446,1.3807691555069372,1
8.704,-5.615805048922596,-0.9246909825345957,1.3904336834588673,1
8.96,-5.6472105012092495,-1.0041499616448284,1.4030661778530713,1
9.216000000000001,-5.674858342694571,-1.074101804379483,1.4195962688105304,1
9.472,-5.685390391319142,-1.1007489554561243,1.4401793696370728,1
9.728,-5.692390129078445,-1.1184590018325635,1.4658668029498252,1
9.984,-5.708412768483688,-1.158997904396049,1.4944934067086897,1
10.24,-5.724667105802961,-1.2001230261797682,1.5234600024172116,1
10.496,-5.747464383143347,-1.2578024497430116,1.5409470500064348,1
10.752,-5.785149910872722,-1.3531506566216631,1.5457374137718387,2
11.008000000000001,-5.817270256224953,-1.434418387716036,1.5412016560829704,2
11.264,-5.831590292933808,-1.470580652754807,1.53006683533338,2
11.52,-5.84284999995662,-1.4886197647146822,1.5175280743809645,2
11.776,-5.85242763196243,-1.4959686191760955,1.5063184769940037,2
12.032,-5.857284279409591,-1.4989007281304978,1.4980497193311073,2
12.288,-5.860383128028123,-1.5000544155976083,1.4933970579054698,2
12.544,-5.85636939230006,-1.499240337076025,1.492087513063756,2
12.8,-5.81528244135412,-1.488132610058118,1.492455572226197,2
13.056000000000001,-5.7885774901365945,-1.480863452136627,1.4947406669485803,2
13.312000000000001,-5.779185581191812,-1.4783338242308361,1.4984953539799528,2
13.568,-5.772336209694824,-1.4764732569588899,1.503026961768483,2
13.824,-5.78751538021877,-1.4806342960477685,1.5067419790697236,2
14.08,-5.85884765195762,-1.5001536285410737,1.5077756852794257,2
14.336,-5.955852811323072,-1.5266945771989817,1.506714928097483,2
14.592,-6.051860308132793,-1.5529617016532355,1.4947683515240802,2
14.848,-6.101357971321322,-1.5665039236075862,1.4707940197369616,2
15.104000000000001,-6.124425683311506,-1.5728151472479468,1.4393470663602572,2
15.36,-6.138241823980251,-1.5765951567463719,1.4042035137927809,2
15.616,-6.163364175167863,-1.5834682754688245,1.367574017511371,2
15.872,-6.238726781893891,-1.6040862217124656,1.3335383817427167,2
16.128,-6.2971496493866495,-1.6200697269800586,1.3136689535308848,2
16.384,-6.335009799240401,-1.6304276191323306,1.307800572457397,2
16.64,-6.419586952729003,-1.6535664681349658,1.3123397874313967,2
